sample_size,n_trials,pop_id,estimation_method,point_estimate,ci_method,ci_alpha,coverage_probability,true_beta,ev_beta,median_beta,bias,percent_bias,empirical_variance_beta,empirical_sd_beta,mse,mcse
25,1000,667057388_5.414,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.414,5.325393226250078,5.299841660268113,0.22977785920440563,-1.6366230836705076,0.22192669885003585,0.47109096664024014,0.22955593250555553,0.014897204397135587
25,1000,443293449_5.429,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.429,5.360765444229448,5.367703099938536,0.23235357575341592,-1.2568531178956066,0.22769762115221126,0.477176718996444,0.23212587813226368,0.015089652784348992
25,1000,1353128989_5.453,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.453,5.32557672595141,5.303468239166993,0.24535617737371715,-2.3367554382649924,0.229119486604455,0.4786642733737865,0.24512705788711264,0.01513669338410655
25,1000,1128366379_5.495,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.495,5.345147856700403,5.323919190281144,0.27118526676041677,-2.7270635723311565,0.24872960190893378,0.49872798388393424,0.27093653715850796,0.015771163619369807
25,1000,971755380_5.579,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.579000000000001,5.363895449352657,5.340159540594786,0.2978260773519122,-3.8556112322520875,0.25155610964271646,0.5015536956724738,0.29757452124226946,0.015860520471999536
25,1000,1631382838_5.581,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.5809999999999995,5.326789319266113,5.314136468108007,0.3145731421800913,-4.554930670737978,0.24995007198090527,0.4999500694878492,0.31432319210811044,0.015809809359410544
25,1000,396844060_5.582,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.582000000000001,5.346939108417662,5.323846012896167,0.3123305103385435,-4.211051443610502,0.2570768875870596,0.5070275018054342,0.31207343345095623,0.016033617420503073
25,1000,561554120_5.676,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.676,5.338826045493946,5.308084672336968,0.33999759229371895,-5.940344512086937,0.226311316696468,0.47572189007493443,0.3397712809770224,0.015043647054370427
25,1000,2134180890_5.698,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.698,5.34927560745296,5.318977599589214,0.36923331954469946,-6.120119209319763,0.2476246175873974,0.4976189481796261,0.36898569492711203,0.01573609283104918
25,1000,1346036931_5.7,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.7,5.354902492466684,5.326511919185778,0.3670357805756075,-6.0543422374265905,0.24794349086990053,0.4979392441552489,0.3667878370847378,0.015746221479132717
25,1000,1403232972_5.758,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.758,5.37967352135319,5.350319311320538,0.3937857304049699,-6.570449438117565,0.250654805959675,0.500654377749436,0.3935350755990099,0.015832081542225426
25,1000,1991017924_5.807,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.807,5.351848452381663,5.346727686671235,0.4642474167618856,-7.83798084412497,0.2570844854625181,0.5070349943174712,0.4639903322764234,0.016033854354537403
25,1000,1792645336_5.865,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.865,5.355722356024125,5.322181711328118,0.49187652420381794,-8.68333578816497,0.2325128055501996,0.48219581660379385,0.4916440113982675,0.015248370586728262
25,1000,1898268017_5.887,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.8870000000000005,5.351244845263972,5.327945290768031,0.5400225081551175,-9.100648118498867,0.25298892232889175,0.5029800416804744,0.5397695192327888,0.015905625493167246
